id,label,tweet,,
352,offensive,THERE ARE THREE PEOPLE OUT AT MY WORK WITH COVID. THIS STUPID FUCKING MAGA CHUNGUS THAT’S LIKE 6’4” AND WENT FULL “IM EX MILITARY AND TRUMP BLAAAARG SHEEPLE MY RIIIIIIGHTS” IS HERE HARASSING MY COWORKERS AND THREATENING TO FIGHT ME. BE. NICE. TO. RETAIL. PEOPLE. YOU. ASSHOLES. ,,
353,none,"So much to unpack here... So because Julie’s Mum has three jobs, children should starve?! Try getting three jobs in a GLOBAL PANDEMIC you fucking idiot 🤯 ",,
354,none,If God knows everything then he knows what it’s like to suck a cock and honestly that’s good enough for me to get out of bed on a cold Sunday morning and be a Covid super spreader at my local church. ,,
355,none,wow this covid shit is rly messing my stuff up huh ,,
356,none,he’s so fucking racist that he’s trying to rationalize the blame onto china ,,
357,none,"Qanon Dune from Mando Idk, just get someone who isn’t a bigoted piece of shit? ",,
358,offensive,"@BraxtonHicks13 @KarrRuss @2020Again @captainperv @ACTBrigitte @realDonaldTrump This reply shows what a moron you are. Plus, you thought that Trump meant “germicidal irradiation” when he claimed he was being sarcastic. You can’t tell the difference between fact and fiction, because you’re fucking stupid. You’d never even heard of coronavirus before January. ",,
359,none,Even if this isn't covid I still feel like the rough end of a badgers arse. A. K. A NOT FIT FOR FUCKING WORK. ,,
360,none,"@MarcoA1227 @MarcACaputo @AttorneyCrump @fineout @sabrod123 You are one ignorant idiot. Who tf cares about blue or red. We have Qanon Republican Congresswomen running, supported by trump. Good bud Marco ",,
361,none,"@WHO this is bullshit. 99% of population is asymptomatic (ie: not sick) and you think we're stupid enough to fall for your fear porn. either get the facts straight, or shut it!!😠😠 ",,
362,hate,@CBSNews @Rifleman4WVU Complicit my with China in spreading the virus! Lock his ass up! ,,
363,none,"Just popping in here to say that all you people in BC spreading the virus, you can all fuck right off into the sun. (I’m also going to assume most people on Twitter are well-informed and not spreading it like the maskless assholes, but you get my drift). ",,
364,hate,FreeUyghurs fuck you china ,,
365,none,@corruptlvr GERMANY SAID FUCK CORONA &lt;/3 ,,
366,none,covid rl fucked up my sense of smell n taste .. been 2 months &amp; i still can barely smell anything &amp; everything taste da fuckin same. i drink soda n they ALL taste da same it’s like i’m drinking battery acid ,,
367,none,@SweetTeaVenom @Joemejia3 @THEJordonBrown @VanJones68 This QAnon bot talks about unleashing a “furry”. What a dumbass. ,,
368,none,"wear your mask over your damn nose, it ain’t no chin diaper mfer ",,
369,none,@SaltyLavanya Fucking found it!!! Vaccine for covid-19🎉🤑 ,,
370,none,"@amazingatheist Rittenhouse and Commie Biden an Trump's victory is just shitty ideological blindness and idiocy, denying something much more big and obvious like a global pandemic that's all around and impossible to miss, that's a whole new level of delusion and stupidity. ",,
371,none,Wtf man. Sometimes living far from your parents sucks... like my parents planned on coming over here but apparently Cali is going on lockdown effective Monday.... ,,
372,none,"Honestly, your a pathetic dictator. Move to China! ",,
373,offensive,"@realDonaldTrump is saying Covid is no big deal ""you get it and you get better"". 228,000 people have died of it you f*cking asshole! ",,
374,none,"@RealJamesWoods Except that today we had over 120,000 new cases. You're a pathetic little man and a fool. Thank God we have someone who will be in office and handle the pandemic appropriately. President Biden ",,
375,none,@Milbank FakeNews @realDonaldTrump called the PolitizarionOfCoronaVirus by CorruptDemocrats a Hoax not the CoronaVirus you Idiot ! ,,
376,none,"Damn I wanted to check one my uncles for his racist ass posts this past year, but my Grammy ain’t having thanksgiving fr due to COVID! 😣 ",,
377,none,behind this mask is another mask also my ass is very fat ,,
378,none,Mariah is skinny fuck corona ,,
379,none,If you wear a mask on your ass you are less likely to get covid ,,
380,none,"@RepMattGaetz @FoxNews @realDonaldTrump You are next on the list to be voted OUT. Counting the days until we are rid of you, parasite. Where is your huge gas mask now? Aren't you afraid of Covid anymore, what an idiot. ",,
381,none,"@FUCKOFF_YOUCUNT @caviabella2 Stress and Psychosomatic symptoms girl. We can act like nothing is going on but it’s just an act cuz the world is fucked right now. I have some weirdness on and off too. Like wondering if I have Covid , when i dont. ",,
382,none,Happy Birthday Covid🥳🥳🥳. Have a sick one g🔥🔥 fuck you btw ,,
383,none,"@realDonaldTrump @NYGovCuomo Donald you are a compulsive liar, corrupt, lawless, dangerous, sexual deviant, treasonous president who loves dictators, polluter and worse? A cruel, EVIL man! God says so - multiple thousands of babies. Doctors wrote the discharge orders for COVID19 patients, not Cuomo ",,
384,none,If this idiot is CURED already then he never had COVID. These meds don’t work that fast. No friggin way. ,,
385,none,@charliekirk11 Hear that Covidiot MAGATS? STOP VOTING FROM NOW ON!!! IDIOTS! ,,
386,none,"“ScReW lOcKdOwNs I dOnT cArE, i WaNt TuRkEy WiTh FaMiLy” Grow the fuck up and be responsible you self centered trolls. Holidays are made up, human constructs. You can miss Thanksgiving this year and it won’t kill you...but you know what might? A FUCKING VIRUS! ",,
387,none,@5_9hazeleyez @Mo_Towns That’s why some of these mfers refuse to wear a mask. They literally can’t breathe… their toxic ass breath. ,,
388,offensive,"@realDonaldTrump You're the asshole that won't answer a question unless the reporter removes their mask. Fuck all the way off, already. ",,
389,none,Shit.... I see this every month covid anit stopping shit 💫 ,,
390,none,Pump my ass full of vaccine. I want a @KimKardashian ass from the amount of vaccine that has been pumped into me. ,,
391,offensive,"OMG @RepKevinBrady IS AN IDIOT 🤯 . . . FOOL, it will buy groceries, clothing, blankets, and keep the lights on for millions on Americans . . . for MAYBE a few more weeks while the TrumpVirus continues to spread, pronging the downfall ",,
392,none,"@Marie47357096 Oi Marie lad you are a stupid women, I will jab myself with the COVID vaccine and become all mighty and you will stay an anti vaccine Karen ",,
393,offensive,"The @realDonaldTrump nightmare is over. That tax-swindling, self-dealing, election-cheating, Covid-denying, coup-attempting piece of shit is done. May he die in prison. ",,
394,none,THIS IS FUCKING BULLSHIT I'VE BEEN PROMISED $500 PER CHILD SINCE APRILLLLLLLLL NOT A FUCKING CENT HAVE CALLED IRS OVER AND OVER I GET NO CHILD SUPPORT THEIR FATHER IS OUT OF WORK MY DOMESTIC SITUATION HAS BECOME OUT OF CONTROL FUCK ALLLLL YOUUU COMMIES WHO PERPETUATE COVID ,,
395,none,CORONA ITS TIME TO FUCKING LEAVE ,,
396,none,I want my baby to be on the beach for his birthday but fucking Corona 😡 ,,
397,none,"@AgentFurShadow Well, with this, is like I said, the Covid exists just to kill this kind of people, and unfortuneatly, nice people get the virus for this shitty people, I said people 3 times xD ",,
398,offensive,Just called out an asshole wearing a mask in the toilet of a bar but not washing his hands after. Dirty c^nt! ,,
399,none,“This bitch ain’t wearing a mask” ,,
400,none,"@cdcoy7 COVID could only find one thing to fuck with me, my tonsils ",,
401,offensive,"@CaliColliver @JakebYT_ @cnnbrk Hey dumbass do some research, the CDC does not recommend repeat Covid testing if you are symptom free for 10 days. You think his doctors are lying? Idiot. ",,
402,none,"@RedTailedButeo @FrankAmari2 @realDonaldTrump Yeah, those tax rates sure do spread a virus around, it’s definitely not a bunch of science-denying maskless morons worshipping a golden calf. /s, you idiot ",,
403,none,"I still don't know where I really stand on the wearing a mask thing but I jus wear one where its required, but these dickheads ya see refusing to wear them... say the government banned masks them same guys would think fuck that and they would then wear one jus to be awkward ",,
404,offensive,"@RichardGrenell @JoeBiden Pre-pandemic photo on a plane, you obfuscating fuck. ",,
405,none,"Go fuck (and I cannot stress this enough) yourself, I catch myself accidentally wearing my mask while driving alone all the time, and I’m not voting for either of your shitty candidates. ",,
406,offensive,@jitobear @Hailee_RN Fucking Covidiot. ,,
407,hate,@scroll_in Yeh sala china communist leftist Maoist pig terrorist country and their dirty pig terrorist Chinese people r dangerous to the whole world and humanity these Chinese pig terrorist always spreading Chinese virus and again a new Chinese virus is detected in China terrorist pig ,,
408,none,I don’t wear a mask because I’m woke. I do it because L.A. is fuckin’ gross. ,,
409,none,@IsaacEntebi9 Fuck racism and fuck covid ,,
410,none,Dude fuck 2020 fuck COVID fuck this whole ass year let’s pray and hope 2021 is better 😔 ,,
411,offensive,@philu916 Sports shouldn't be happing you dumb idiot and those vaccines should go to the healthcare workers first you jackass ,,
412,none,@realDonaldTrump You mean he could actually do more damage than you. Pay attention covid 19 you ass ,,
413,hate,FCUK YOU CHINA VIRUS!!! ,,
414,none,@SarahKSilverman Trump did not remember if he had a virus test the day of the debate with a memory like that how did he remember there was a debate sorry to rough it but what a fucking liar ,,
415,offensive,@realDonaldTrump I’m still pissed off.... I’m a woman... wanna grab me by the fkn pussy you human pile of shit. My kid is sick.... if we cross paths I’ll kick your your fkn asshole in. Have another super spreader.... let everyone’s kid Covid. Compliments of Donald J Trump... ps he sucks Putin ,,
416,none,Stay far away from FUCK NIGGAS &amp; THE CORONA ,,
417,none,"@SirScott15 @Readthebill2017 @JTHVerhovek @ABC @washingtonpost THEY CAN LITERALLY CHECK AND SEE IF YOU HAVE THE VIRUS OR NOT, THEY DONT JUST FUCKING DIAGNOSE YOU BASED ON SYMPTOMS ",,
418,none,This asshole should have been barred from entering the Mayo Clinic because he refused to wear a mask since "he has tested negative for the coronavirus". So fucking what? Be an example and wear the fucking mask. ,,
419,none,I have never been more fucking embarrassed than I am right now. I cannot believe I go to a university where sports are more fucking important than a global pandemic or even education. This is BULLSHIT. ,,
420,offensive,"@realDonaldTrump So now you believe China!?!? Are you ok in the head!? The last time we heard you talk about China, you were calling them the ‘spreaders’ make your mind up you complete and utter fucktard!!! ",,
421,none,Nobody: Bitches who say they wanna die on a daily basis after there doctors tells them they’re gonna die from coronavirus: ,,
422,none,@JamesBradleyCA HEY STUPID AND UNINFORMED. YOU'RE CONFUSING THE ANNUAL US BUDGET WITH COVID RELIEF ,,
423,none,"Here it is, the QAnon moment on @FoxNews @MariaBartiromo should dig a grave &amp; bury herself alive for inferring this in an interview with subhuman fuck stick @RonJohnsonWI . The next 2 weeks will be below the gutter, under the sewer low. What disgusting people. ",,
424,offensive,Code of vets just posted a video of a disabled veteran being ATTACK BECAUSE OF THIS LYING BASTARD AND HIS MASK BULLSHIT. FAUCI NEEDS TO PAY!!!!! ,,
425,none,"Arellano: California’s battle over mask wearing began 102 years ago. Stupid then, stupid now ",,
426,none,@cher he wasnt keeping anything. Or are you calling Dr Fauci a liar. If Trump hid something from wveryone. something only he knew and the only person he told was Woodward. why didn't Woodward come forward. I mean lives were at stake according to you sick fucking freaks ,,
427,hate,@sonnie06384188 Wait shit here my dumbass was thinking it was COVID death counts but yeah fuck China ,,
428,none,Gavin Newsome is such a joke... who in their right mind would listen or follow this???? What a moron!!! ,,
429,none,@Jackmeh04461964 @Scaramucci @JoeBiden @realDonaldTrump You people hear what you want to hear and watch edited recordings on propaganda shows. You still think the pandemic us a hoax? Inject any bleach lately? Honoring Union soldiers who took over airports? A vote for Trump is a vote for stupidity. ,,
430,none,LIKE YALL ARE TAKING SOOO FUCKING MUCH FROM US SIKHS THAT JUST GIVE N GIVE BRUH LITERALLY ALL THE FOOD DURING THIS PANDEMIC WAS HARVESTED BY THE KISSANS TF WRONG W INDIA ,,
431,none,"Oh we're going to, don't you worry your feeble little brain! Trump is going to kick Covid, then he's going to kick you ass! ",,
432,none,✅got my workout done ✅getting myself a big ass burrito 🌯 now time to kill this stupid 7 page essay going into complete lockdown mode ,,
433,none,That bitch ass nigga corona 😒 ,,
434,none,Next time I hear the words “China Virus” I’m going to lose my shit. ,,
435,offensive,"@realDonaldTrump For the last time and even the dumbest village idiot in the last row (like you): the correct name is CORONA VIRUS AND NOT CHINA FLU, you blistering racist POS ",,
436,none,Just get the damn vaccine out and end this shit ,,
437,none,@FoxNews Absolutely. Let’s focus on 400k to distract from the millions in Covid relief that went to Trump and Kushner properties during Trump’s presidency. Presidential corruption is worse than a greedy asshole civilian ,,
438,none,"Trump is a fucking liability, that idiots response to the death of that black man is causing chaos around the world &amp; will result in further spread &amp; deaths from coronavirus Stand up now @realDonaldTrump &amp; sort this like a real president could &amp; would ",,
439,none,@Real2Eggs My lockdown basically is over but I heard leicester is fucked ,,
440,none,Bitch they made the whole solar system 😭😭😭😭 fck you COVID-19 ,,
441,none,black ppl give less of a fuck abt the pandemic than the whites is what i'm noticin nowadays ,,
442,none,"If you “college educated” idiots think having an Asian student in your class will give you the coronavirus, just drop out now. You’re obviously an idiot. ",,
443,none,"Don’t be an idiot, wear a mask!!! Seeing some people here with no masks at restaurant waiting for pick up. Endangers others. Also, get outside in nature Away From other people. ",,
444,offensive,@Kara48949888 @NewshubNZ Oh fuck off you stupid twat. None of what you said is true. Scientifically illiterate moron who thinks she knows something. Anytime someone talks about Bill Gates and the NWO you know they're a brainwashed moron. ,,
445,offensive,@keyokei_ @AllLoveHipHop It was ur black China ass ,,
446,none,Trump Slams "Idiot" Dr. Fauci: "Every Time He Goes On TV It's A Bomb...But There's A Bigger Bomb If You Fire Him" - ,,
447,offensive,"@Mike_Pence @VP @moderna_tx @realDonaldTrump @NIH Wait? What? So you knew how bad this was and yet you still let bunker boy flap is lips for another two months? This is some pathetic bullshit you guys need to be arrested. 250k Americans have died under your watch. Own that shit before you start talking about a vaccine...,dick ",,
448,none,@realDonaldTrump The only thing massive is your stupidity and your responsibility for coronavirus deaths. ,,
449,none,how stupid were the people of Troy that after being under siege for 10 years they see a giant wooden horse at their gates and think “oh man that’s really big and cool we should bring that inside our wall” fucking idiots ,,
450,none,"@WhiteHouse @SecAzar Biden wins, vaccine comes out. All the good luck coming our way. And Trump was a racist orange German clown who fell like shit ",,
451,none,"hey @AmericanAir im never flying with you again. in my flight on 6/25 to sfo, i was jammed in the middle seat, despite promises to fly at reduced capacity, next to an idiot who I had to gripe at to wear a mask. (thread) ",,
452,none,@volshy So many Covid deniers. These people are insanely stupid. ,,
453,none,A fuckin face mask penalty n blown coverage goddamn Raiders!!!! Get your fuckin shit together!!!! ,,
454,none,@Tomi_Utd @davido @vinz6199 Your stupidity worse than covid! ,,
455,none,The whole both sides argument gets so tiresome Yes both sides are being really shit about covid. We're holding our friends accountable best we can. The issue is an entire fucking half of the political spectrum buying into lies fed by the GOVERNMENT about it jesus fucking christ ,,
456,none,@itsnikkigarza @GovKemp He's a fucking wannabe Batman villain. WHO CLOSES HEALTH CARE OPTIONS IN THE MIDDLE OF A FUCKING PANDEMIC? Brine Kemp. That's who. I got MY insurance through ,,
457,none,Friday’s don’t feel like Friday’s anymore FUCK YOU COVID ,,
458,offensive,@JoeBiden What do plan to call it if you win? It won't be the USA anymore. China 2.0? The United Continents of Globalism? Where are you going with this? Why don't you tell the truth to the idiots who plan to vote for your scumbag ass? ,,
459,offensive,"Well, good bye to my great state of TN. @GovBillLee is a Nazi in hiding and he just came out. We will not abide by your new stupid Covid rules. Take them and shove them up your ass, Mr. Lee. ",,
460,none,yeah so i might have covid now as well. i fucking hate it here. ,,
461,none,"@ACTBrigitte To the people trying to blame Trump for Covid. 1. HOW THE FUCK IS IT HIS FAULT? 2. What difference would it be if Hillary, Bernie or joe were president? And 2.2 million were expected to die with Covid and 220,000 died trump saved 2 million lives. You all are ignorant hypocrites. ",,
462,none,@YEYJustice @SpencerFernando You're an idiot if you really believe this. Harper wasn't perfect. But he sure saw us through the worse world financial crisis in 2008. While idiot Trudeau is creating the worst financial crisis to hit Canada. And that was BEFORE Covid. We're doomed if he stays in much longer. ,,
463,none,"That I have a breathing problem Karen bitch is fine, she just selfish and will probably catch coronavirus for being stupid. ",,
464,offensive,Is @EmmanuelMacron a little dancing Chabad (fake jew) pedogay criminal? And spreads asshole Korona virus in ,,
465,offensive,@cj_mir6 I mean...to be honest i could care less who gets fucked in the ass by their girlfriend. I just don’t want me elderly parents dying from this shit so even if I’m wrong it’s kinda worth the mask. ,,
466,none,"Completely ignorant, stupid, total bullshit opinion hit piece. The actual death toll is higher than the official count due to early deaths not recognized as COVID-19. via @Mynorthwest ",,
467,none,I hope he loses every fucking penny! Robert De Niro's lawyer says coronavirus has caused the actor financial strain ,,
468,none,Can’t go to my best friend’s brother’a funeral because of covid. I’m so so so so happy that you can all go to your bars though. America is so self centered and apathetic. Stay the fuck home ,,
469,hate,Bro why the do presidents have to be so old and fucking weird lol we should have young leaders fuck Boomers ,,
470,hate,@glitter_bat_ Fuck you china ,,
471,offensive,@realDonaldTrump Massive infecting of innocent americans because you never wear a MASK;!!! WHAT AN ASS!!!! ,,
472,none,"This is sick. The mask has nothing to do with one's character. We will not concede this point. In February, March and April, this disease was at its high point and declined without widespread mask use. You are full of shit. ",,
473,offensive,@YahooNews When is Beijing Biden going to cure covid? Or is he just going to let thousands more die until Inauguration Day? Isn’t that what he solely campaigned on? He’s an idiot. ,,
474,none,Fuck the CoronaVirus who got the CulonaVirus ,,
475,offensive,"@JoeBorelliNYC Memories and preventable lung damage for a lifetime. Herman Caine would approve but he died of COVID so yeah, roll the dice, you ignorant, irresponsible jack ass. ",,
476,none,@WhiteHouse @realDonaldTrump Except you didn’t buy more vaccines as Pfizer gave AMERICA first dibs! Too paranoid you’d be viewed as a LOSER? Too late! Majority of this great country VOTED YOU OUT. You LOST. You’re the LOSER. ((Loser...loser...loser)) ,,
477,offensive,@AnthonySabatini IDIOT!!!!! OMG WHAT AN IDIOT!!!!! THERE ARE SO MANY IDIOTS!!!!! CASES ATE GOING UP AND IDIOTS LIKE YOU ARE MAKING FUN OF PEOPLE DYING???? WEAR A MASK IDIOT AND STFU!!!! ,,
478,offensive,@jaketapper YOU ARE SO FULL OF SHIT! LOCKDOWNS KILL KILL KILL... ,,
479,none,"A couple of things here; 1) Some people are literally idiots. If they require a mask and you don’t want to wear it, stay your dumb ass at home then 2) Reading these comments you barely see the “if he just complied...” comment tho. White folks I tell ya... ",,
480,none,Literally lost my fucking job AGAIN because MFs wanna be stupid and rack up the COVID cases 😒 Wasn’t even there for a month yet 🙂 ,,
481,offensive,@pastormarkburns @realDonaldTrump No it's not you dumb motherfucker. It's a fucking virus that's killed 200K americans. The white house was well aware of the threat. Ignorance is no excuse. Cut the bullshit you maga idiots. ,,
482,offensive,Women really a trip yo. Bitch got COVID n talking bout she feel so lonely CAUSE NIGGAS DONT WANT THAT SHIT ,,
483,offensive,"@rosestoradlands @andrewamerica @TheAVClub More died due to lockdown? Ahhh, you’re gonna have to show your work there sparky. Otherwise, fuck off. ",,
484,none,@realDonaldTrump @US_FDA Ur an idiot. U psycho. What admin wouldn't have searched a vaccine? Really dummy? Loser status. ,,
485,offensive,"@FuckYou14047834 @EmpressTinaB_ I referenced you to the “KungFlu “, “very fine nazis” and “very good people screaming white power” that’s 3 examples and you said one was a mistake and not racist. You sound dumb af right now ",,
486,offensive,"@justbitchiiin @Warrior2913 @momaisey @IanMcKellen Okay rather be on another planet. Anything you say. Plant medicine far worse than vaccines, oh my. Fuck off. ",,
487,none,That covid test is the worse fucking thing ever ,,
488,none,"@realDonaldTrump Even if that was true, it would be because of a pandemic, idiot. ",,
489,offensive,"@CLPope14 he’s a better choice than that fucking orange racist ass cheeto bitch, who can’t even speak properly himself. FOH. ",,
490,none,@BroHilderchump The entire Syd v Melb COVID thing is extremely fucking tiresome. ,,
491,none,NY fucking everyone out of their corona money I see ,,
492,none,If furries can wear those hot ass costumes and them huge masks then you can wear a fucking mask ,,
493,none,"RIP Bobby Ball, we all thought you’d pull through. Fuck Covid ",,
494,offensive,Gop and Mr pedofraud are criminal traitors destroying America! Nothing but pedofraud! Forever my "bitch"fraud *LockHimUp *triatortrump *terroristrump *crimvanka *mailorderflotus *trumpvirus *impeachimagain Coward Evangelical baby God nazi confederate traitors destroying America! ,,
495,none,One day those ancient virus gonna attack all your asses and we gonna have double pressing matter ,,
496,none,"Facts this Vaccine shit is Rushed Cluster Fuck. How you gonna give 1 part without the other, what happens if they run out of part 2 we back to square 1 people still infected ",,
497,none,"@MattMcMuscles @RepBrianHiggins As much as I wanna move to Canada very soon, I don't want my northern pals getting fucking sick because of people being irresponsible during the pandemic in America. Keep the border closed til we get our shit together. ",,
498,offensive,"@piersmorgan @MattHancock @BorisJohnson Oh shut up Piers, get your hypocritical head out of your arse and actually review the data. The new “strain” isn’t going to be relevant. Lockdowns are not in any way effective at reducing the spread or effects of COVID. ",,
499,offensive,@Acosta @Qanon76 Wel Jom dont you feel to bad because Q denounces you as FAKE NEWS YOU POS .. WHY DONT YOU GO TO CHINA WHERE LYING TO THE PEOPLE IS OK . TO US QANONS YOUR THE WORST OF WHAT MEDIA STANDS FOR.. SO AS JUST A SOLDIER FROM ME TO YOU FUCK OFF !!!!!!!! ,,
500,none,@CNNPolitics 3000 Americans are dying every day from this virus while this fucker walked around without a mask. He can fuck off &amp; take his dipshit zealot wife with him. They don’t deserve the vaccine. ,,
501,none,I'd waited about 35 years to see Genesis...and today was supposed to be the day. Fucking covid....😭 ,,
502,none,Bill gates owes me fuckin doe ,,
503,none,DUMB BITCHITIS &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; corona ,,
504,none,"@kathyand37 @RepDonBeyer A) yeah, wages are too low B) right now they SHOULD bc that will encourage them to stay home and not spread the fucking pandemic virus ",,
505,none,"To the fucker that bought $117 worth of outdoor stuff, fuck you. I already have no money because of covid. Fuck. You. ",,
506,none,"@OregonGovBrown God you piss me off more than Nacy Pelosi! My life, my choice! I will not die as a damn sheep. You have a higher chance dying from a car crash or even OBESITY than your over hyped virus just to blame Trump. Stupid ass agenda. Get to work. Worthless governor. ",,
507,none,@Eno_Bening coz of this corona shit ,,
508,offensive,"@GOP @realDonaldTrump @Mike_Pence 163,000 Americans dead of coronavirus, you dumb assholes. ",,
509,none,I actually wanted to do cross over at the Eiffel Tower but COVID-19 is a bastard ,,
510,offensive,Mr pedofraud is going to prison! Nothing but pedofraud! Forever my "bitch"fraud *LockHimUp *triatortrump *terroristrump *crimvanka *mailorderflotus *trumpvirus *impeachimagain Coward Evangelical baby God nazi confederate traitors destroying America! ,,
511,none,Why the fuck Merthyr ain’t on lockdown with the rest of us I don’t know. Everyone’s loose as fuck up there ,,
512,none,fuck I forgot a mask ,,
513,none,@JoeBiden Well that's because you idiots shut the nation down over this virus SCAM!!!! ,,
514,none,@JadenSEAA Yeah Trump votes don’t give a fuck about covid lmaooo ,,
515,none,Boy that covid shit will have yo ass paranoid ,,
516,none,@JohnBerman @maggieNYT @realDonaldTrump You’re an idiot Mr Berman. Waste a vaccine on someone who has the antibodies. A 12 yr old knows this much. I guess you would lose at the game show “Are you smarter than a 5th grader?” ,,
517,offensive,@retiredknitwit @realDonaldTrump Dudes a dunce. He doesn’t know his mouth from his ass. Fauci is a lame excuse for a dr. ,,
518,none,@stillgray Never was a fucking pandemic. ,,
519,none,@AnthonySabatini Hey moron - Florida has more Covid cases than all of Canada which is double the population. WEAR A FUCKING MASK. What is wrong with you people down there? ,,
520,none,I seriously hope karma kicks in Covid style for these morons ,,
521,none,"If you think Bill Gates is a benefactor, you are a fool. ",,
522,none,I’ll rob ya ass without a mask wit ya bitchass 💯 ,,
523,offensive,@WeDontHaveTime @JenniferArtley @BT_Americas What pandemic? It's over. So poke your Marxist bullshit up your arse ,,
524,none,@gthuggin12 Oh lmaooo 😭😭 but yeah ofc wtf dont be that soft ass mofo. Fuck covid ,,
525,offensive,"And its not Just Trump! Bill Barr, his AG, is now equating Slavery with a National Mandate to wear a mask to prevent infection &amp; Death ? This is the head Law Enforcement Officer &amp; President actively wanting the Harm&amp;Death of Citizens? Two crazy as fuck shit house rats running USA ",,
526,none,Wish I lived in my little pony those bitches live in their town rent free and don’t have a deadly virus taking over their life ,,
527,offensive,"if you get corona virus, you're a pussy. ",,
528,none,"@matthewvhaynes @SuperWinterGirl @DiscussingFilm If we are really in pandemic, then we should all be dead mostly😐. Pandemic my shit ",,
529,none,"@realDonaldTrump None of these people have killed 190,000 people. None of these shut down economy. You blamed Dems for the virus and economy. You don’t have a base anymore. The only ones that support you now are complete nut jobs. You are a weak, pathetic loser. Sound familiar? ",,
530,none,It feels soo fucked up when you’re outside and not wearing a mask. ,,
531,none,@EugeneLeeYang @b1kuta I have a coworker who literally believes COVID 19 doesn't even exist. Our education system is a fucking failure ,,
532,offensive,"This bitch @IngrahamAngle is dumb, and I don't wish death on nobody but I hope her and anybody who listens to her and the stupid ass soon 2 be (can't come soon enough) ex president (you lost, deal with it) @realDonaldTrump catch corona, the world's better off without any of you. ",,
533,offensive,"@DWUhlfelderLaw DeSantis is a super spreader of bullshit first, COVID second. ",,
534,none,WHEN ARE WE GONNA REALISE THAT WE ARE IN THE MIDDLE OF A PANDEMIC RN? OPENING COLLEGES WOULD PUT MILLIONS AT RISK. WHAT A BUNCH OF IDIOTS U ALL ARE ,,
535,offensive,@11tulips @HamburgNYPolice these dumb fucks need to arrest the whole town. But they wont waiting to kill more blacks on the street amd die from a virus. ,,
536,none,"@FoxNews @GriffJenkins looks like an idiot standing over 12 ft from people, outside, with his black mask on. 🤗 ",,
537,none,@realDonaldTrump There’s a fucking pandemic ,,
538,none,"can’t believe people are more scared of rain and thunder than a deadly virus that has killed millions, fuck y’all ",,
539,none,"@llcoolj Two different things you idiot!!! Not killing babies and not wearing your mask while social distancing can’t compare, don’t be a follower!!! Don’t always trust the media!!! ",,
540,none,Fuck lockdown :( ,,
541,hate,The person who started this Coronavirus should be fucking shot ,,
542,none,"@SenWhitehouse stay away from those irresponsible, maskless, self centered, party-obedient-only, sick and contagious despicable jerks! ",,
543,offensive,@AP 99% of people already wear masks. Fuck Fauci he is a Nazi retard ,,
544,none,"And it’s still possible that I got it. Even with social distancing and mask wearing... so if you think you’re invincible, or don’t need to be careful, you’re a moron. No one is invincible from this shit ",,
545,none,Yo if this man doesn’t die he is just gonna push that covid ain’t dangerous af and him and his “boys” finna be acting a damn fool ,,
546,none,"If you ground up and snorted those cinnamon valentine hearts on a dare because you are a stupid dumbass, don't worry about what is in the vaccine ",,
547,none,Covid making y’all show your ass lmao ,,
548,none,You can’t bring up covid now after months of not caring. That’s not how this works. Sit your ass down ,,
549,none,"@DCI_James @Tashiwityar @abcnews The system is not ready. People with a mindset like you will cause the outbreak of COVID-19. Stay home, idiot. ",,
550,offensive,I don’t understand why every time I go to buy groceries there’s some angry woman inches behind me in line who can’t comprehend the 6 foot distancing rule. I wouldn’t want you this close without a pandemic to worry about. BACK. UP. BITCH. ,,
551,offensive,@twinsmom60 @_MaroonedAndy_ @RayJulianTorres @chrislhayes They deserve it. I just don’t want me or my family to die from this covid19 shit because of their ignorant asses. I’m sorry but white people showed their natural born asses voting for this racist piece of shit. ,,
552,offensive,"@questauthority Hey jackass, if you're so worried about getting sick stay your dumb ass at home. Who is making you leave the house? ",,
553,none,When people bitch about having to wear a mask it is so hard not to do violence to them. Stop being so damn selfish and willfully stupid. ,,
554,none,"@DestinyT20 @CNNPolitics Because Biden isn't an idiot, and neither are the 80 million who voted for him. Enjoy the Covid though you moron! ",,
555,none,@BriMcS @ScottAdamsSays Man you are thick. I just said that doctors and nurses get covid even with all their PPE. You idiot. ,,
556,none,THESE PEOPLE THINKS AMERICANS ARE STUPID WE KNOW WHAT THE HELL YALL ARE DOING ! WE WILL NOT TAKE THE VACCINE ! ,,
557,offensive,This disgusts me. Fucking privileged trump sycophants flaunting their privilege and rushed to the front of the line. And for this Rubio wears a mask. 🤬 ,,
558,offensive,"@nicolepruett1 @2_old_for_this @kumailn There is literally no medical reason not to wear a mask. You are full of shit, or egregiously misinformed ",,
559,none,"@BNightengale All bullshit. Baseball should be through game 100 by now. We should lock the door and not come out when someone says, or watch a 50k protest and nobody gives a shit? This is all bullshit. Covid isn’t gonna kill us all ",,
560,none,they not even looking to pass it to pandemic p anymore they know he’s ass ,,
561,none,Idiots! Get over yourselves! DEAL WITH IT Like The REST OF US GROWN-UPS are DEALING with IT! Putting Your employees&amp;customers at risk for a dam dollar! Whatcomm County rally highlights frustrations with new COVID-19 restrictions | ,,
